Scenario,Recall Drop (%),PR-AUC Drop,DP Diff Change,Recovery Recall
Income Shift,-9.88029000168606,0.025517484788717293,0.1341687879381241,0.426740853144495
Feature Noise,-1.7029168774237047,0.07536490486986158,0.018601918934795403,0.3753161355589277
Class Imbalance Shift,0.0,0.0,0.0,0.426740853144495
