Phase,Recall,Demographic_Parity_Diff,Disparate_Impact,Equal_Opportunity_Diff
Before Mitigation,0.4385432473444613,0.1272371255140004,2.296488427773344,0.24935468027373253
After Mitigation,0.5161018378013825,0.22803994517329157,3.323623304070231,0.3777387159979859
