Configuration,Recall (Mean ± SD),F1 (Mean ± SD),ROC-AUC (Mean ± SD)
Base XGBoost,0.1837 ± 0.0050,0.2575 ± 0.0061,0.7452 ± 0.0016
XGBoost + SMOTE,0.2574 ± 0.0056,0.3067 ± 0.0039,0.7443 ± 0.0017
