Metric,Mean,Std
Recall,0.06876201670532085,0.0035234813333187513
F1,0.12301993461569874,0.005913818894618767
ROC-AUC,0.7520260342744327,0.001779610273245675
PR-AUC,0.3187311967845675,0.0037523076278594986
